Object Name,Rise time (UT),Transit time (UT) ,Set time (UT),Max. observable time (hh:mm),Apparent R.A. (hh:mm:ss),"Apparent Dec. (+dd mm'ss"")",V-mag,Heliocentric range (au),Topocentric range (au),Obj.-Earth-Sun angle (deg),Obj.-Earth-Moon angle (deg),Galactic latitude (deg)
(2026 BC2),22:54,02:56,06:57,08:03,09:46:13,"+30 19'21""",18.8,1.09,106,163.64,112.1,49.23
(2025 YK9),17:10*,21:57*,02:43,04:31,04:46:41,"-32 44'09""",17.8,1.02,179,96.11,120.3,-39.58
(2022 YU4),00:57,03:27,05:57,04:59,10:17:18,"+53 35'22""",17.6,1.11,158,139.74,113.2,50.99
(2021 CM9),21:24*,01:33,05:42,07:29,08:23:06,"+26 27'20""",18.0,1.37,399,158.36,128.5,30.57
(2018 YJ),04:54,09:16*,13:38*,02:27,16:07:49,"+17 39'33""",18.9,1.05,392,87.56,44.81,44.21
(2016 XQ23),20:47*,23:52,02:58,04:45,06:42:20,"+47 59'46""",18.3,1.27,384,130.25,146.8,18.07
(2016 NN39),01:11,05:31,09:52*,06:11,12:22:24,"+18 47'55""",17.6,1.15,202,140.61,75.47,79.25
(2016 CL136),21:27*,02:07,06:48,08:35,08:57:45,"-03 22'36""",17.8,1.10,115,159.80,108.9,25.77
(2015 HC117),22:09*,02:42,07:15,09:02,09:32:27,"+07 26'07""",17.9,1.22,238,173.20,106.3,38.75
(2015 CB),22:03*,02:40,07:18,09:05,09:30:54,"+01 34'27""",18.3,1.06,73,167.37,104.0,35.42
(2012 BC124),21:13*,01:57,06:42,08:29,08:47:35,"-12 22'20""",18.4,1.21,247,150.67,106.4,18.72
(2008 YR2),23:02,03:29,07:56*,08:20,10:19:28,"+13 25'27""",17.5,1.28,300,170.15,98.43,51.76
(2000 DL8),22:51,01:08,03:24,04:32,07:58:02,"+55 07'47""",18.6,1.24,326,134.50,133.2,31.03
(2000 BH19),00:50,05:27,10:05*,06:32,12:18:17,"+01 02'50""",17.9,1.14,193,138.53,66.67,62.78
(1999 AO10),22:25,03:06,07:47*,08:56,09:56:41,"-04 01'05""",17.1,1.01,28,161.41,95.70,37.41
866876 (2015 TE323),14:41*,19:28*,00:15,02:03,02:17:33,"-25 34'45""",18.6,918,226,65.85,118.6,-70.95
843295 (2016 ED85),15:25*,19:24*,23:24,01:11,02:13:33,"+31 22'17""",18.7,1.03,500,79.91,149.8,-28.54
836372 (2012 PQ28),21:12*,00:59,04:45,06:33,07:48:52,"+36 49'02""",18.6,1.42,486,146.53,137.2,26.42
679657 (2020 BE15),16:25*,21:08*,01:52,03:39,03:57:58,"-41 46'36""",18.9,983,149,84.16,111.0,-49.58
614313 (2008 YR27),21:40*,00:58,04:16,06:04,07:48:09,"+45 15'03""",17.6,1.26,327,140.99,136.8,28.19
549328 (2011 GO27),23:11,03:33,07:55*,08:11,10:23:31,"+17 31'45""",17.2,1.25,269,168.74,99.32,54.35
533722 (2014 NE52),21:22*,01:25,05:27,07:15,08:15:14,"+29 54'36""",18.9,1.55,600,155.01,131.0,29.89
528756 (2009 AS),21:17*,01:23,05:29,07:17,08:13:36,"+27 58'47""",18.0,1.38,420,155.76,130.9,29.00
523604 (2004 QB17),22:50,03:27,08:05*,08:32,10:17:49,"+00 56'27""",18.3,1.45,472,163.75,93.26,44.63
513529 (2010 CR1),20:52*,00:51,04:49,06:37,07:40:52,"-66 01'58""",15.8,1.00,82,96.95,80.35,-19.83
508918 (2004 BG86),03:16,07:46*,12:16*,04:06,14:36:58,"+10 16'18""",19.0,1.11,290,107.36,46.20,60.30
500080 (2011 WV134),17:44*,22:18,02:52,04:39,05:07:25,"+05 49'13""",15.3,1.05,145,112.83,157.2,-20.31
496818 (1993 RA),20:34*,01:06,05:38,07:26,07:56:12,"+08 06'59""",18.6,1.31,345,154.12,127.9,17.77
494975 (2009 WO106),18:38*,23:25,04:12,06:00,06:15:03,"-30 23'33""",18.3,1.11,241,113.83,117.6,-20.82
480858 (2001 PT9),21:59*,02:11,06:23,08:11,09:01:27,"+24 41'04""",18.5,1.18,197,166.17,119.7,38.37
427684 (2004 DH2),23:27,04:13,08:59*,07:55,11:03:26,"-35 19'05""",18.0,1.08,146,126.73,68.59,22.56
364136 (2006 CJ),23:46,04:32,09:18*,07:36,11:22:47,"-19 54'43""",18.9,1.18,245,137.51,69.92,38.29
318411 (2005 AH14),01:27,05:29,09:30*,05:55,12:19:28,"+30 16'07""",18.5,1.60,719,139.73,82.80,82.00
312473 (2008 SX245),16:37*,21:21*,02:06,03:53,04:10:49,"-12 27'50""",18.9,1.10,415,94.52,140.4,-41.51
310842 (2003 AK18),20:30*,01:00,05:29,07:17,07:49:58,"+10 41'49""",18.2,1.21,240,153.19,130.5,17.49
285625 (2000 RD34),23:44,04:24,09:05*,07:37,11:15:16,"-02 55'52""",18.8,1.56,620,150.71,78.70,51.95
276033 (2002 AJ129),15:15*,19:44*,00:14,02:02,02:33:50,"+10 27'49""",17.2,970,98,77.10,148.0,-45.23
267223 (2001 DQ8),23:29,03:44,07:59*,07:53,10:34:56,"+22 38'29""",17.8,1.42,444,164.20,99.08,58.53
248590 (2006 CS),15:19*,19:39*,23:59,01:47,02:28:38,"-59 33'34""",17.9,984,697,69.04,90.04,-53.49
244670 (2003 KN18),14:53*,19:40*,00:27,02:14,02:29:05,"-28 09'36""",17.9,938,168,68.21,117.8,-68.65
213053 (1998 WT30),21:48*,02:07,06:26,08:14,08:57:35,"+19 49'34""",17.8,1.23,243,168.54,119.0,36.04
198856 (2005 LR3),05:26,08:46*,12:05*,01:56,15:37:09,"+44 52'05""",18.2,1.24,592,100.18,72.71,52.75
164400 (2005 GN59),21:39*,02:25,07:11,08:59,09:15:17,"-18 26'53""",16.0,1.20,250,146.98,97.49,20.42
163243 (2002 FB3),23:19,02:36,05:53,06:34,09:26:44,"-72 11'43""",16.6,1.06,326,93.73,69.24,-15.22
163051 (2001 YJ4),02:00,06:43,11:27*,05:22,13:34:34,"-40 20'20""",16.7,1.14,389,102.99,38.61,21.97
162635 (2000 SS164),01:40,06:21,11:02*,05:42,13:11:55,"-04 02'35""",18.2,1.49,694,124.20,52.54,58.63
162038 (1996 DH),22:17,02:53,07:28*,09:04,09:43:18,"+04 00'35""",18.5,1.96,982,169.90,102.3,39.34
153249 (2001 BW15),00:45,05:32,10:18*,06:37,12:22:48,"-32 31'59""",17.2,1.50,745,119.15,53.37,30.06
152889 (2000 CF59),16:47*,21:33*,02:20,04:07,04:22:53,"-20 09'48""",17.9,1.22,627,95.15,133.0,-41.70
144332 (2004 DV24),22:54,03:40,08:25*,08:28,10:30:13,"-36 18'35""",18.8,1.73,933,128.21,74.57,18.36
143947 (2003 YQ117),13:25*,18:04*,22:43,00:31,00:53:25,"-01 20'10""",17.8,1.01,1.31,49.70,120.7,-64.35
141484 (2002 DB4),18:56*,23:39,04:23,06:11,06:29:23,"-41 07'51""",16.4,1.16,366,109.57,106.7,-21.51
138877 (2000 XG47),15:53*,19:07*,22:21,00:08,01:55:59,"+46 12'30""",18.9,1.24,878,83.32,143.9,-15.42
138325 (2000 GO82),13:43*,18:29*,23:14,01:02,01:17:42,"-15 41'27""",18.7,900,1.04,52.74,116.8,-77.30
96744 (1999 OW3),16:22*,20:59*,01:35,03:23,03:48:12,"-49 57'10""",16.3,1.09,644,80.76,102.7,-49.53
89355 (2001 VS78),05:25,10:00*,14:36*,01:57,16:51:44,"+03 49'19""",18.3,1.24,1.08,73.37,31.06,28.56
85628 (1998 KV2),04:16,08:20*,12:24*,03:06,15:11:23,"+28 57'48""",17.4,1.12,360,102.67,58.92,59.43
68350 (2001 MK3),14:56*,19:40*,00:23,02:11,02:28:59,"-10 38'47""",18.8,1.27,1.19,70.65,132.3,-62.06
55532 (2001 WG2),15:39*,19:34*,23:29,01:17,02:23:22,"+33 25'19""",18.3,1.24,892,82.62,151.8,-25.88
53319 (1999 JM8),04:24,09:05*,13:47*,02:58,15:56:53,"-05 23'38""",18.9,1.74,1.54,84.36,22.87,34.97
34613 (2000 UR13),21:40*,02:02,06:24,08:12,08:52:24,"+17 20'10""",18.0,1.96,986,168.32,119.2,34.02
25916 (2001 CP44),02:20,06:47,11:15*,05:02,13:38:36,"+13 05'36""",18.0,2.47,1.81,121.92,57.74,72.45
25330 (1999 KV4),05:04,09:44*,14:24*,02:18,16:35:29,"-02 46'50""",18.2,1.03,637,75.62,24.06,28.66
24475 (2000 VN2),03:49,08:19*,12:49*,03:33,15:10:40,"+10 01'22""",18.2,1.33,742,99.20,41.62,53.35
23714 (1998 EC3),00:11,04:40,09:08*,07:11,11:30:27,"+11 57'47""",18.5,1.77,830,152.78,82.41,65.54
23187 (2000 PN9),13:02*,17:48*,22:34,00:21,00:37:02,"-36 02'21""",17.8,769,1.00,45.40,96.49,-80.36
11398 (1998 YP11),20:45*,01:13,05:41,07:29,08:03:17,"+12 15'59""",16.2,1.41,447,156.65,128.2,21.11
